"meteorite_name","recclass","mass_g","impact_year"
"Millbillillie","Eucrite-mmict",330000,1960
"Miller (Arkansas)","H5",16700,1930
"Minamino","L",1040,1632
"Mineo","Pallasite",42,1826
"Min-Fan-Zhun","LL6",5500,1952
"Minnichhof","OC",550,1905
"Mirzapur","L5",8510,1910
"Misshof","H5",5800,1890
"Mjelleim","H",100.7,1898
"Mocs","L5-6",300000,1882
"Modoc (1905)","L6",35000,1905
"Mokoia","CV3",4500,1908
"Molina","H5",144000,1858
"Molteno","Howardite",150,1953
"Monahans (1998)","H5",2587,1998
"Monroe","H4",8600,1849
"Monte das Fortes","L5",4885,1950
"Monte Milone","L5",3130,1846
"Montferré","H5",149000,1923
"Montlivault","L6",500,1838
"Moore County","Eucrite-cm",1880,1913
"Mooresfort","H5",3520,1810
"Moorleah","L6",8887.5,1930
"Moradabad","L6",70,1808
"Morávka","H5",633,2000
"Mornans","H5",1300,1875
"Moss","CO3.6",3763,2006
"Moti-ka-nagla","H6",1500,1868
"Motta di Conti","H4",9150,1868
"Mount Browne","H6",11300,1902
"Mount Tazerzait","L5",110000,1991
"Mount Vaisi","Stone-uncl",17000,1637
"Mtola","Stone-uncl",1100,1944
"Muddoor","L5",4400,1865
"Mulletiwu","L",25.5,1795
"Muraid","L6",4703,1924
"Murchison","CM2",100000,1969
"Murray","CM2",12600,1950
"Muzaffarpur","Iron, IAB-sHL",1245,1964
"Nadiabondi","H5",8165,1956
"Nagai","L6",1810,1922
"Nagaria","Eucrite-cm",20,1875
"Nagy-Borové","L5",6100,1895
"Nakhla","Martian (nakhlite)",10000,1911
"Nakhon Pathom","L6",23200,1923
"Nammianthal","H5",4500,1886
"Nan Yang Pao","L6",52900,1917
"Nanjemoy","H6",7500,1825
"Nantong","H6",529,1984
"Naoki","H6",17000,1928
"Naragh","H6",2700,1974
"Narellan","L6",367.5,1928
"Nassirah","H4",347,1936
"Nawapali","CM2",105,1890
"Neagari","L6",420,1995
"Nedagolla","Iron, ungrouped",4500,1870
"Nejo","L6",2450,1970
"Nerft","L6",10250,1864
"Neuschwanstein","EL6",6189,2002
"New Concord","L6",230000,1860
"New Halfa","L4",12000,1994
"New Orleans","H5",19256,2003
"Ngawi","LL3.6",1393,1883
"N'Goureyma","Iron, ungrouped",37500,1900
"Nikolaevka","H4",3996,1935
"Nikolskoe","L4",6000,1954
"Ningbo","Iron, IVA",14250,1975
"Ningqiang","C3-ung",4610,1983
"Nio","H3-4",467,1897
"N'Kandhla","Iron, IID",17200,1912
"Nobleborough","Eucrite-pmict",2300,1823
"Noblesville","H4-6",483.7,1991
"Nogata","L6",472,860
"Nogoya","CM2",4000,1879
"Norfork","Iron, IIIAB",1050,1918
"Norton County","Aubrite",1100000,1948
"Noventa Vicentina","H4",177,1971
"Novo-Urei","Ureilite",1900,1886
"Novy-Projekt","OC",1001,1908
"Noyan-Bogdo","L6",250,1933
"Nuevo Mercurio","H5",50000,1978
"Nulles","H6",5000,1851
"Numakai","H4",363,1925
"Nyaung","Iron, IIIAB",737.6,1939
"Nyirábrany","LL5",1100,1914
"Ochansk","H4",500000,1887
"Oesede","H5",1400,1927
"Oesel","L6",6000,1855
"Ofehértó","L6",3750,1900
"Ogi","H6",14360,1741
"Ohaba","H5",16250,1857
"Ohuma","L5",7700,1963
"Ojuelos Altos","L6",5850,1926
"Okabe","H5",194,1958
"Okano","Iron, IIAB",4742,1904
"Okniny","LL6",12000,1834
"Oldenburg (1930)","L6",16570,1930
"Olivenza","LL5",150000,1924
"Olmedilla de Alarcón","H5",40000,1929
"Omolon","Pallasite, PMG",250000,1981
"Orgueil","CI1",14000,1864
"Orlando","Eucrite",180,2004
"Ornans","CO3.4",6000,1868
"Ortenau","Stone-uncl",4500,1671
"Orvinio","H6",3400,1872
"Oterøy","L6",246,1928
"Otomi","H",6510,1867
"Ottawa","LL6",840,1896
"Ouadangou","L5",4440,2003
"Oued el Hadjar","LL6",1215.5,1986
"Oum Dreyga","H3-5",17000,2003
"Ourique","H4",20000,1998
"Ovambo","L6",121.5,1900
"Oviedo","H5",205,1856
"Pacula","L6",3400,1881
"Padvarninkai","Eucrite-mmict",3858,1929
"Paitan","H6",515,1910
"Palca de Aparzo","L5",1430,1988
"Palinshih","Iron",18000,1914
"Palmyra","L3",135,1926
"Palolo Valley","H5",682,1949
"Pampanga","L5",10500,1859
"Pantar","H5",2130,1938
"Paragould","LL5",408000,1930
"Parambu","LL5",2000,1967
"Paranaiba","L6",100000,1956
"Park Forest","L5",18000,2003
"Parnallee","LL3.6",77600,1857
"Parsa","EH3",800,1942
"Pasamonte","Eucrite-pmict",5100,1933
"Patora","H6",4375,1969
"Patrimonio","L6",2121,1950
"Patti","Iron",12,1922
"Patwar","Mesosiderite-A1",37350,1935
"Pavel","H5",2968,1966
"Pavlodar (stone)","H5",142.5,1938
"Pavlograd","L6",40000,1826
"Pavlovka","Howardite",2000,1882
"Peace River","L6",45760,1963
"Peckelsheim","Diogenite-pm",117.8,1953
"Peekskill","H6",12570,1992
"Peña Blanca Spring","Aubrite",70000,1946
"Peramiho","Eucrite-mmict",165,1899
"Perpeti","L6",23474,1935
"Perth","LL5",2,1830
"Pervomaisky","L6",66000,1933
"Pesyanoe","Aubrite",3393,1933
"Pétèlkolé","H5",189,1995
"Petersburg","Eucrite-pmict",1800,1855
"Phillips County (stone)","L6",57900,1901
"Phu Hong","H4",500,1887
"Phum Sambo","H4",7800,1933
"Phuoc-Binh","L5",11000,1941
"Piancaldoli","LL3.4",13.1,1968
"Pillistfer","EL6",23250,1863
"Piplia Kalan","Eucrite-mmict",42000,1996
